Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Barbados,BRB,"Inflación, deflactor del PIB: series vinculadas (% anual)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.728308355,4.495282919,2.12239359,5.195366413,2.209842656,1.016149209,2.53841642,0.916898498,8.703256154,4.433423516,-1.322839151,2.255389252,0.907856237,1.115872167,5.828144136,6.667724557,4.096370736,8.612261083,1.806934874,-1.829704415,3.824030737,3.613473902,-0.602948866,2.882224331,0.450286494,-1.810997655,-0.234639823,2.612082542,3.328710243,4.260278528,1.824382341,4.701754514,4.075806483,4.735828043
Brunei Darussalam,BRN,"Inflación, deflactor del PIB: series vinculadas (% anual)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.409963766,-2.837280823,1.726875356,-2.951489527,-8.763626527,2.872997532,4.488755815,8.584853385,-11.64857357,11.59397648,29.01570917,-5.59189805,0.374209529,6.104611064,15.88616466,18.76631914,10.04772148,1.120447694,12.69272996,-22.09141648,16.68828285,20.18050542,1.218702687,-2.82132117,-1.846457284,-17.61280313,-9.167861616,4.953690289,9.215863133,-3.334183376,-10.86375964,15.4659287,24.23672684,-12.89619583
Bhután,BTN,"Inflación, deflactor del PIB: series vinculadas (% anual)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.205353073,8.941284318,8.923289539,8.513450728,12.3412551,8.284382711,8.112632657,12.90687481,10.69626722,6.170258996,7.350196168,5.33733054,5.165193016,3.624306236,4.345881628,6.479202403,6.575123741,4.688177919,5.606180911,4.424099417,6.081891397,9.158561977,9.020082808,6.390927606,5.940536823,3.316207396,4.15140396,4.458162528,1.150858685,3.108002214,5.287368056,7.628020096,5.794860052,
Botswana,BWA,"Inflación, deflactor del PIB: series vinculadas (% anual)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.300018284,5.177709937,6.639280854,13.06470049,9.463804702,7.155294853,16.11219545,4.990608488,9.967270819,14.23520849,14.17096691,8.312825,1.187370696,3.259084372,10.07878865,15.47170657,7.473131023,6.029197651,9.372730256,15.10893375,7.683061453,12.65332158,3.011841608,1.532120998,11.90410682,3.730317376,11.90491113,-2.649919276,0.057196959,0.507585436,4.378993827,8.381449724,14.61755097,2.125860244
República Centroafricana,CAF,"Inflación, deflactor del PIB: series vinculadas (% anual)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.836645106,-0.389815608,2.782647022,-3.433020318,24.41256968,9.897975858,-3.543045733,0.823381001,-0.414154095,4.08471549,8.506601078,0.425938675,-2.371881706,1.336418631,-4.439785938,4.188437082,3.334045939,1.83823165,7.077070724,0.711628391,4.211309311,4.009115057,6.181036177,2.487486778,11.8938033,2.708263108,2.980114084,6.443706288,-1.224117158,2.327837051,1.982160556,3.185766469,5.96792445,3.39995299
Canadá,CAN,"Inflación, deflactor del PIB: series vinculadas (% anual)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.352301725,3.056769896,1.470850834,1.289042882,1.455630961,2.263325732,1.67527502,1.144128307,-0.176225256,1.923855642,4.374199031,1.573676767,1.257523455,3.249737007,3.260873898,3.116638505,2.570172675,3.300545644,3.996316455,-2.324922072,2.848637766,3.244455176,1.218443707,1.740737906,1.941198977,-0.867651312,0.716978141,2.571014654,1.651118198,1.546070754,1.070810268,7.664865423,7.653819927,1.60524181
Europa Central y del Báltico,CEB,"Inflación, deflactor del PIB: series vinculadas (% anual)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suiza,CHE,"Inflación, deflactor del PIB: series vinculadas (% anual)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.603621323,5.409104757,2.124635043,2.322023993,1.184387136,0.737757711,0.280022461,-0.476483337,-0.189259059,0.043770557,1.367285504,0.97438332,-0.249463899,1.179759241,0.296627279,0.924638292,2.150257985,2.377061327,1.44992801,0.45754398,0.312736574,-0.020452917,0.063720263,-0.08684264,-0.653123804,-1.265056875,-0.583291592,-0.367869217,0.764289197,-0.103895158,-0.699187623,1.246191967,2.497159504,1.023314026
Islas del Canal,CHI,"Inflación, deflactor del PIB: series vinculadas (% anual)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.269603432,3.569826689,1.913329005,1.978766225,-3.313376784,4.336446775,
Chile,CHL,"Inflación, deflactor del PIB: series vinculadas (% anual)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.4709371,21.3909823,13.46437702,12.16441967,14.46398495,11.68071811,4.079776196,3.330580505,0.778990206,2.187767871,4.560043487,4.277146982,3.340660368,4.300300886,7.024761707,7.120315357,12.34989592,5.088757065,0.311132503,3.577795037,8.857441496,3.26051486,0.763466679,2.260770612,5.852891628,4.954365527,4.560656044,4.828191882,1.590199738,2.567787214,9.665722697,6.914755885,7.913783466,6.599512046
China,CHN,"Inflación, deflactor del PIB: series vinculadas (% anual)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.711224169,6.714536958,8.190323022,15.18586451,20.61698881,13.6656964,6.506730635,1.616568742,-0.900251629,-1.263058939,2.062792613,2.047049457,0.602099078,2.603177719,6.951992681,3.903744269,3.926549396,7.749686493,7.795346037,-0.209533361,6.881380253,8.075684467,2.331217576,2.163370027,1.031063688,-0.002944094,1.407346027,4.232681975,3.499747636,1.286700408,0.492493918,4.552326579,1.785701642,-0.535569714
Côte d'Ivoire,CIV,"Inflación, deflactor del PIB: series vinculadas (% anual)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.523273543,0.663489267,-0.023837137,6.154194291,46.38606944,11.04378985,4.983084576,3.921474201,5.387361391,-0.775911929,1.601017287,6.875968797,4.582137352,3.278120693,-2.50335752,1.301305273,1.35953826,3.088549446,5.372933485,1.207779297,1.516217924,5.7093205,-0.404098361,2.876730429,4.407332356,4.775682373,-1.179832436,-1.041677248,1.681976472,1.983352493,1.828383094,3.930131375,2.085898589,2.485177103
Camerún,CMR,"Inflación, deflactor del PIB: series vinculadas (% anual)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.643098431,3.56871353,-1.277671029,39.80023297,9.61873528,4.992791916,0.410559081,6.163811055,1.065869878,-1.119766442,1.531562959,2.469358915,2.77449285,1.952914449,0.139487835,1.357141959,2.299674978,0.490708035,4.940536812,3.603515184,0.688187083,2.589044247,1.942285364,3.053459169,2.01421263,0.309791678,0.661808977,1.025141161,1.896991623,1.169771819,0.705572038,2.878931617,5.336612005,2.726009551
"Congo, República Democrática del",COD,"Inflación, deflactor del PIB: series vinculadas (% anual)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.9553071,2338.44967,3855.307641,1657.641589,26765.85825,466.4073586,638.1888243,192.6428345,26.93537636,441.9024919,2630.122674,73.05971136,31.71946123,13.41545352,6.365458263,29.86954662,13.32522538,20.27146498,20.46531662,32.65792916,20.78632515,13.79166011,5.939992212,2.771291415,0.993630667,-1.155878593,4.349228945,43.06865976,30.99861215,5.895405374,3.901549571,14.97543455,10.10641724,13.17193122
"Congo, República del",COG,"Inflación, deflactor del PIB: series vinculadas (% anual)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.029068271,-1.480635695,-1.569268413,-1.130828611,36.75282565,3.39592951,17.99192403,4.964517682,-18.22208966,29.35534193,47.04008308,-13.92520817,-1.73892756,-4.25153692,16.80723831,21.3295,11.38030176,6.740117132,16.26920343,-21.16523311,29.4176838,10.95332551,11.36409024,-1.104562189,-6.464563313,-17.25398754,-3.502487289,12.36567685,22.23444129,-1.317372735,-13.9995549,23.29070717,18.26089878,-7.567702287
Colombia,COL,"Inflación, deflactor del PIB: series vinculadas (% anual)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.33610317,27.00577404,22.66438495,24.84157828,22.09637826,18.85095726,16.86837879,16.83985293,14.77304541,12.62294083,11.15327404,6.518448292,5.968190572,6.829014842,7.283033407,4.753196108,5.807660873,5.202033812,7.677382915,4.064225467,3.804860291,6.386803373,3.616655063,1.907676432,2.235632376,2.449328421,5.148334305,5.1337359,4.630579673,4.002620543,1.48172462,7.802113095,14.86657456,6.347733461
Comoras,COM,"Inflación, deflactor del PIB: series vinculadas (% anual)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1759123,8.118905144,-6.76452931,2.832823707,9.416919269,8.320974495,3.198700339,0.92436655,1.346654371,5.811360423,3.426445467,8.629983989,4.170655917,5.111829176,3.388361732,0.315881658,3.110763709,3.544922696,3.144289799,0.986041111,1.67515247,3.045688801,4.270482569,1.752157036,0.835044862,-0.522859923,1.714986808,0.402494135,1.83566794,4.209105968,0.669668394,0.059577397,5.162636894,3.213292268
